"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DX1A0PcRHdJVf,437130,47,60.5531914893617,211391.53191489363,354640.0,141133.0
37i9dQZF1DWTwnEm1IYyoj,3237831,183,62.814207650273225,223313.31147540984,340707.0,148460.0
37i9dQZF1DWTSKFpOdYF1r,289973,100,39.92,235054.3,450800.0,125160.0
37i9dQZF1DX3YSRoSdA634,1696277,52,47.84615384615385,236288.86538461538,365760.0,162732.0
37i9dQZF1DX577AP3mHXLm,484108,29,34.51724137931034,201386.6551724138,278000.0,128933.0
37i9dQZF1DWZ2DWnNKZTXs,410484,54,39.648148148148145,232847.4814814815,351147.0,174653.0
37i9dQZF1DX3D78h6FPBPC,426907,50,45.94,232749.0,353160.0,103880.0
37i9dQZF1DX6t4zDdAeW2k,241036,52,45.46153846153846,270854.3653846154,437733.0,180853.0
37i9dQZF1DX3llIQ4rouPW,638466,50,55.68,224085.58,344257.0,165805.0
37i9dQZF1DWZUWZIwpqsT3,994106,30,37.0,219643.36666666667,372062.0,139614.0
37i9dQZF1DXe6bgV3TmZOL,517357,50,48.74,231162.44,340132.0,153800.0
37i9dQZF1DWTggY0yqBxES,484202,70,34.285714285714285,209852.95714285714,380473.0,93840.0
37i9dQZF1DX0jgyAiPl8Af,1455626,89,57.86516853932584,172618.70786516854,263793.0,103333.0
37i9dQZF1DWWqNV5cS50j6,377840,64,59.40625,196624.03125,301639.0,93840.0
37i9dQZF1DX0sDai2F5jCQ,245753,50,74.44,192207.56,324189.0,94246.0
37i9dQZF1DWSXBu5naYCM9,504667,80,58.8875,211444.5125,393960.0,141000.0
37i9dQZF1DWSlwBojgQEcN,1419187,101,48.306930693069305,229546.40594059406,526387.0,136542.0
37i9dQZF1DX3iXpjyhBzel,363754,70,41.871428571428574,339313.8857142857,1077987.0,194000.0
37i9dQZF1DXc7aGdJ1YSSD,530209,35,61.05714285714286,233740.48571428572,301520.0,175200.0
37i9dQZF1DX82GYcclJ3Ug,753761,99,52.4040404040404,209397.08080808082,331080.0,144933.0
37i9dQZF1DWTMU14XJYy0g,320460,70,48.74285714285714,243146.27142857143,376182.0,131267.0
37i9dQZF1DX94xYuvCIZIj,278955,49,48.63265306122449,228599.75510204083,295787.0,174933.0
37i9dQZF1DXaImRpG7HXqp,404430,68,38.69117647058823,220679.16176470587,338560.0,60387.0
37i9dQZF1DX0EjH1A5gGZ2,224576,60,45.833333333333336,213193.46666666667,336147.0,111753.0
37i9dQZF1DXdTCdwCKzXwo,302986,89,44.89887640449438,254893.80898876404,645000.0,130747.0
0yrfVX1cfVSLMqS1eFPiBi,109528,11,70.27272727272727,162619.27272727274,212787.0,65693.0
37i9dQZF1DWUjxn1SsdJYZ,76467,50,36.68,201237.88,287273.0,123533.0
2DZ4NXO1qtSS7y3uR6cw8v,22780,111,44.054054054054056,211955.3873873874,512600.0,27880.0
37i9dQZF1DXbSbnqxMTGx9,1419356,60,43.333333333333336,226664.93333333332,387307.0,152361.0
37i9dQZF1DX7nC9vdKqBZ5,1084227,60,53.28333333333333,209906.28333333333,266629.0,125955.0
37i9dQZF1DX3J5toT8HI72,550629,50,51.94,211829.78,349574.0,131427.0
37i9dQZF1DXarRysLJmuju,404077,95,68.77894736842106,201119.33684210526,314663.0,156547.0
37i9dQZF1DX3Csy1LFxjkI,217750,22,63.31818181818182,222019.31818181818,277867.0,186000.0
37i9dQZF1DWWoDbniQLBJY,1234523,49,48.3469387755102,248388.16326530612,453893.0,135111.0
37i9dQZF1DXcDoDDetPsEg,413119,65,68.1076923076923,200244.8153846154,362839.0,127200.0
37i9dQZF1DZ06evO0MLcpW,105644,43,54.093023255813954,268016.1395348837,502200.0,193507.0
